Subject,Age,Gender,PreFigureSeries,PreLSATReasoning,PreLetterComp_Accuracy,PreLetterComp_AttemptedTrials,PreLetterComp_CorrectTrials,PreLetterComp_AvgRT,PreLetterComp_AvgCorrectTrialRT,PreDSST_Attempted,PreDSST_Correct,PreDSST_Accuracy,PostFigureSeries,PostLSATReasoning,PrePatternComp_Accuracy,PrePatternComp_AttemptedTrials,PrePatternComp_CorrectTrials,PrePatternComp_AvgRT,PrePatternComp_AvgCorrectTrialRT
10,21,1,24,13,0.8695652174,23,20,2465.5652173913,2281.15,82,82,1,25,6,0.976744186,43,42,1248.7209302326,1239.8571428571
11,20,2,20,15,0.962962963,27,26,2074.962962963,2062.7307692308,113,113,1,26,13,1,30,30,1718.4,1718.4
12,20,1,15,11,1,21,21,2679.0476190476,2679.0476190476,76,76,1,7,10,0.9,30,27,1839.2,1858.6296296296
13,21,2,18,10,0.9583333333,24,23,2348.0833333333,2417.652173913,124,124,1,19,11,0.9361702128,47,44,1117.7659574468,1131.75
14,21,1,20,14,1,24,24,2239.3333333333,2239.3333333333,106,106,1,15,13,0.9333333333,45,42,1197.7333333333,1200.2380952381
15,21,2,22,12,0.9310344828,29,27,1946.5862068966,1961.7037037037,97,97,1,29,14,0.96,50,48,1055.9,1068.1875
16,22,1,18,8,0.875,24,21,2265,2214.0952380952,91,91,1,21,14,0.9777777778,45,44,1177.5555555556,1180.5681818182
17,41,2,10,4,1,14,14,4132.8571428571,4132.8571428571,68,68,1,9,10,1,9,9,6330,6330
18,31,1,28,14,0.9583333333,24,23,2359.5833333333,2352.2608695652,110,109,0.9909090909,28,7,0.9454545455,55,52,926.7272727273,919.4230769231
19,21,1,26,21,0.9285714286,28,26,2008.6071428571,2025.0384615385,76,76,1,25,16,0.9761904762,42,41,1303.4523809524,1308.7073170732
1,34,1,15,9,1,26,26,2176.8461538462,2176.8461538462,87,87,1,17,13,0.9705882353,34,33,1583.9705882353,1566.3333333333
20,18,1,29,19,0.8571428571,42,36,1272.0238095238,1181.4166666667,98,98,1,29,20,0.9333333333,60,56,827.0333333333,823.3928571429
21,22,2,16,9,0.962962963,27,26,2025.4814814815,2024.2692307692,114,113,0.9912280702,20,13,1,30,30,1747.2,1747.2
22,23,2,15,13,0.8518518519,27,23,2078.0740740741,1983.6086956522,84,82,0.9761904762,8,15,0.880952381,42,37,1274.1904761905,1214.8108108108
23,21,1,16,10,0.9130434783,23,21,2424.7391304348,2507.5238095238,86,84,0.976744186,17,15,0.9361702128,47,44,1132.5531914894,1135.1818181818
24,42,2,24,13,0.9565217391,23,22,2479,2456.7727272727,114,114,1,26,17,0.9166666667,36,33,1470.6944444444,1450.9090909091
25,28,2,10,12,1,25,25,2279.92,2279.92,91,90,0.989010989,16,9,0.9230769231,26,24,2088.8076923077,1990.2083333333
2,30,1,21,13,1,24,24,2232.9583333333,2232.9583333333,86,85,0.988372093,28,14,1,32,32,1723.0625,1723.0625
3,22,2,23,19,NaN,NaN,NaN,NaN,NaN,90,89,0.9888888889,30,19,0.9622641509,53,51,1000.4528301887,1011.4117647059
4,19,1,23,14,0.8888888889,27,24,2099.5185185185,2091.4583333333,91,91,1,23,10,0.9428571429,35,33,1539.6857142857,1522.9696969697
5,20,1,15,16,0.8620689655,29,25,1944.9655172414,1894.08,99,98,0.9898989899,19,11,0.935483871,31,29,1785.5483870968,1755.1034482759
6,24,1,20,11,0.9473684211,19,18,2952.1578947368,2863.7777777778,93,92,0.9892473118,21,16,0.7941176471,34,27,1604.9117647059,1655.8518518519
7,41,2,19,11,1,21,21,2652.1428571429,2652.1428571429,64,64,1,17,14,1,29,29,1894.7586206897,1894.7586206897
8,19,2,11,12,0.8181818182,22,18,2546.0909090909,2316.5555555556,99,99,1,19,7,0.9428571429,35,33,1554.8857142857,1513.8181818182
9,20,2,18,14,0.9642857143,28,27,1850.1071428571,1780.6666666667,94,93,0.9893617021,14,12,0.9137931034,58,53,898.5517241379,900.679245283
